,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
0,181745,301059.XSHE,2022-12-31,2023-02-09,2022-12-31,0.54,60929688.49,71009440.61,40014.83,11.9336,11.0119,9.8714,23.6248,38.3225,74.5934,25.5849,23.6248,1.3029,13.036,-1.8847,93.6499,0.0528,92.2763,100.1668,31.8639,125.416,37.7019,,37.7019,,27.2754,,30.5074,,30.5074,
1,181746,000815.XSHE,2022-12-31,2023-02-10,2022-12-31,-0.33,-247100424.76,-106624494.87,8266660.75,-11.6196,-12.356,-7.4584,-21.0366,2.3984,109.6892,-19.5714,-21.0366,1.0442,7.6145,1.5991,,,,86.8663,5.2119,,-10.6941,,-10.6941,,-2425.866,,-1319.4563,,-1244.7464,
2,181747,301076.XSHE,2022-12-31,2023-02-18,2022-12-31,1.03,92141388.22,106164735.79,15615314.89,10.2113,8.7977,9.1147,26.8651,36.1147,73.3313,30.9587,26.8651,0.8264,10.1346,-1.9086,86.3511,12.700999999999999,86.1562,76.6536,33.1964,124.4773,16.3893,,16.3893,,60.1304,,61.3215,,61.3215,
3,181748,002072.XSHE,2022-12-31,2023-02-18,2022-12-31,-0.0282,-10567246.41,-8148869.48,63946.03,-18.1113,-18.4459,-10.867,-2.8891,3.108,102.2691,-2.9002,-2.8891,2.1551,2.9907,0.0154,,,,106.4919,-18.6041,,182.4099,,182.4099,,-109.339,,-219.5976,,-221.3904,
4,181749,603077.XSHG,2022-12-31,2023-02-21,2022-12-31,0.4377,3751475244.68,4484097849.18,21831129.21,22.82,22.4883,18.1332,29.221999999999998,42.8534,65.61,34.3675,29.221999999999998,0.4025,7.0014,0.185,100.1236,0.4875,98.5465,69.7456,20.2797,58.9698,30.5546,,30.5546,,24.7859,,25.8958,,26.1171,
5,181750,600557.XSHG,2022-12-31,2023-02-21,2022-12-31,0.75,394954750.73,409286289.04,4198585.02,9.5924,8.72,6.8975,10.157,72.0956,90.59299999999999,10.4533,10.157,42.9301,18.2798,-0.2031,91.8265,0.9420000000000001,90.9055,115.5201,22.8906,243.3358,19.2487,,19.2487,,29.581999999999997,,36.2471,,35.5408,
6,181751,002984.XSHE,2022-12-31,2023-02-21,2022-12-31,1.23,888199599.5,974161367.5,-105782324.68,11.2244,12.4486,7.4462,12.7278,20.5023,84.5179,13.7435,12.7278,2.4801,4.4659,-2.1417,114.2734,-12.4087,110.9063,100.6931,16.3401,105.5417,21.5348,,21.5348,,18.7314,,6.3047,,6.3047,
7,181752,300721.XSHE,2022-12-31,2023-02-21,2022-12-31,1.2827,112152215.32,136931250.07,,9.1971,9.4145,3.8345,6.6588,19.3676,91.1902,8.136000000000001,6.6588,2.3167,5.1929,2.2366,113.1874,,102.3636,102.1392,8.8122,100.0271,7.1626,,7.1626,,-21.9062,,-20.9958,,-16.8968,
8,181753,603856.XSHG,2022-12-31,2023-02-21,2022-12-31,0.58,128413868.71,262604492.79,-1379215.88,7.2369,6.2286,4.0384,5.2441,19.3405,90.7905,6.2136,5.2441,2.6161,5.9457,1.0411,148.6257,-0.7806,86.068,101.0115,0.6161,6.6894,29.0882,,29.0882,,20.3228,,12.4009,,12.15,
9,181754,000798.XSHE,2022-12-31,2023-02-24,2022-12-31,0.0287,-30981213.28,-45120666.68,2664435.45,1.3655,-4.3019,0.604,1.1949,10.7003,107.5615,2.8802,1.1949,1.8406,17.1795,-0.8869,-257.6497,15.2146,-315.0279,89.0616,-5.9985,,29.0506,,29.0506,,120.9171,,108.023,,111.4541,
10,181755,688082.XSHG,2022-12-31,2023-02-25,2022-12-31,1.54,689892830.15,737339779.02,-4662651.26,12.9314,13.3455,9.2123,23.2675,48.9002,74.336,24.9476,23.2675,9.0,16.916,-2.7965,102.8804,-0.6506,103.2021,98.2775,-9.353,-36.444,77.2534,,77.2534,,167.4897,,151.0766,,151.0766,
11,181756,000972.XSHE,2022-12-31,2023-02-25,2022-12-31,0.03,24082586.97,104400162.61,-199.77,31.7061,29.272,3.4747,4.4264,26.2623,82.2836,5.3789,4.4264,0.9682,4.8545,2.0235,332.7436,-0.0006,92.323,122.8792,33.5571,189.4129,237.7931,,237.7931,,131.1496,,124.4065,,124.4209,
12,181757,603682.XSHG,2022-12-31,2023-02-28,2022-12-31,0.21,39345549.52,60651614.62,-13622815.03,8.613,3.4923,1.5474,9.3187,40.5657,93.1214,6.7744,9.3187,3.8679,9.9714,19.1786,52.5705,-11.8077,40.5468,103.9717,66.0479,960.2003,-2.9723,,-2.9723,,-45.7907,,-30.8286,,-21.7845,
13,181758,603200.XSHG,2022-12-31,2023-02-28,2022-12-31,0.24,40728443.4,47407838.51,6404200.04,4.928,4.7482,3.005,6.468999999999999,28.4893,92.1637,6.7461,6.468999999999999,2.4519,18.0937,-0.3572,110.1557,14.8806,96.3516,113.1892,16.2867,207.83700000000002,8.0441,,8.0441,,13.2171,,0.1466,,3.0163,
14,181759,688100.XSHG,2022-12-31,2023-02-28,2022-12-31,0.8,387289568.87,437154868.86,-3676980.95,15.0498,14.5657,10.5446,20.0763,37.1177,78.1817,22.8235,20.0763,4.6779,11.671,-1.9943,95.51700000000001,-0.8034,96.7834,87.302,12.8427,58.8622,9.7495,,9.7495,,15.4484,,17.5377,,17.1997,
15,181760,000975.XSHE,2022-12-31,2023-02-28,2022-12-31,0.405,1029083457.15,1549419487.1,119926844.32,10.5192,9.627,7.7523,14.8451,24.8114,81.5139,19.2781,14.8451,0.0367,3.7084,0.4572,96.2909,7.452999999999999,91.5183,106.8975,23.7317,128.376,-7.2863,,-7.2863,,-13.3558,,-12.4822,,-11.6923,
16,181761,000534.XSHE,2022-12-31,2023-02-28,2022-12-31,0.2033,80672086.22,111140009.83,1269415.51,8.9881,7.1283,4.6378,13.2975,76.85,85.9997,16.9768,13.2975,33.3349,26.0523,2.5691,82.9229,0.9471,79.3087,95.4356,24.5497,175.352,20.9655,,20.9655,,13.0815,,18.7807,,6.7442,
