date,open,close,high,low,volume,money
2022-06-30,3358.93,3398.62,3417.01,3358.93,38124317800.0,510307202900.0
2022-07-01,3400.26,3387.64,3404.05,3378.36,35048929900.0,458435288500.0
2022-07-04,3381.82,3405.43,3405.62,3364.09,35773791900.0,489347955300.0
2022-07-05,3411.13,3404.03,3424.84,3372.06,41169967200.0,516605703900.0
2022-07-06,3391.03,3355.35,3391.03,3333.1,38463004700.0,487474666900.0
2022-07-07,3353.13,3364.4,3375.86,3332.31,33440020200.0,438203112900.0
2022-07-08,3380.37,3356.08,3386.31,3354.12,32292107200.0,421883933100.0
2022-07-11,3341.1,3313.58,3341.1,3297.01,34266919300.0,424942266300.0
2022-07-12,3307.22,3281.47,3319.25,3277.08,33460053900.0,410950560700.0
2022-07-13,3279.6,3284.29,3297.02,3266.48,33184566900.0,394134617500.0
2022-07-14,3277.45,3281.74,3299.25,3261.49,35592643200.0,431969353500.0
2022-07-15,3261.38,3228.06,3288.92,3228.06,38015637100.0,460877019100.0
2022-07-18,3235.09,3278.1,3278.47,3226.23,34834602200.0,423357272300.0
2022-07-19,3278.72,3279.43,3283.93,3256.02,31565191800.0,396042358300.0
2022-07-20,3291.55,3304.72,3308.35,3287.74,30151512300.0,383422746800.0
2022-07-21,3297.66,3272.0,3300.53,3272.0,33235870700.0,420696576700.0
2022-07-22,3276.2,3269.97,3293.64,3246.73,30069006600.0,383576011600.0
2022-07-25,3269.71,3250.39,3273.18,3243.03,27124574400.0,348281871000.0
2022-07-26,3254.19,3277.44,3282.41,3246.04,25946867600.0,334421587000.0
2022-07-27,3271.78,3275.76,3282.57,3265.73,24913148500.0,339768241100.0
2022-07-28,3287.5,3282.58,3305.71,3277.11,28805505600.0,395925555500.0
2022-07-29,3282.81,3253.24,3294.8,3246.37,30733104700.0,410553093400.0
2022-08-01,3246.62,3259.96,3264.3,3225.55,29220480500.0,399000239700.0
2022-08-02,3231.26,3186.27,3231.26,3155.19,39417616800.0,475962696200.0
2022-08-03,3188.89,3163.67,3217.55,3159.46,32488567300.0,455409764900.0
2022-08-04,3179.43,3189.04,3191.0,3155.7,26089894300.0,371146916100.0
2022-08-05,3195.23,3227.03,3228.89,3184.45,27468372900.0,414055641500.0
2022-08-08,3218.85,3236.93,3237.97,3214.08,25426805000.0,392277178500.0
2022-08-09,3235.74,3247.43,3248.77,3227.54,25960546700.0,391415560300.0
2022-08-10,3242.36,3230.02,3253.17,3217.81,25758359200.0,390066120100.0
2022-08-11,3243.47,3281.67,3281.67,3237.9,30060537600.0,427399149600.0
2022-08-12,3275.77,3276.89,3288.22,3272.84,29993292800.0,403906156300.0
2022-08-15,3268.37,3276.09,3286.89,3261.82,28710677300.0,387257744600.0
2022-08-16,3278.68,3277.88,3295.02,3271.57,30359227400.0,409210082300.0
2022-08-17,3282.1,3292.53,3296.0,3263.35,32612475900.0,423859011400.0
2022-08-18,3286.37,3277.54,3289.14,3270.56,30169477800.0,418075199700.0
2022-08-19,3275.62,3258.08,3286.49,3258.06,33353547100.0,457863361100.0
2022-08-22,3249.7,3277.79,3278.17,3247.19,31453786900.0,427653295800.0
2022-08-23,3274.43,3276.22,3284.6,3262.63,31656635600.0,418311744000.0
2022-08-24,3279.17,3215.2,3281.88,3212.39,36614057700.0,458360278400.0
2022-08-25,3223.46,3246.25,3248.35,3199.12,33619616500.0,419464277000.0
2022-08-26,3250.63,3236.22,3266.27,3232.28,30992755400.0,397556251300.0
